"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-08","6.71"," 1546","0.00",,"85","59","  200","  210","17.0","23.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-09","6.71"," 1750","0.00",,"82","59","  220","  230","21.0","25.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-10","5.14"," 0102","0.33",,"74","55","   80","   80","13.0","15.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-11","8.50"," 1633","0.35",,"83","57","  220","  200","29.1","36.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-12","13.42"," 1219","0.00",,"66","49","  270","  240","23.9","36.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-13","7.16"," 0559","0.01",,"56","41","  360","  360","16.1","21.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-14","4.92"," 1314","0.00",,"63","37","  130","  180","13.0","15.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-15","6.04"," 1234","0.06",,"75","51","  190","  200","19.9","23.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-16","4.25"," 1554","0.12",,"75","62","  110","  150","10.1","13.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-17","7.61"," 1537","0.01",,"80","63","  180","  170","18.1","25.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-18","10.51"," 2019","0.00",,"84","68","  240","  240","19.9","25.1",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-19","10.51"," 0047","0.00",,"68","43","  290","  280","17.0","23.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-20","6.93"," 0204","0.00",,"58","40","  360","   10","15.0","19.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-21","7.83"," 1747","0.00",,"65","49","  300","  280","17.0","23.9",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-22","9.17"," 1054","0.00",,"66","44","  360","  360","19.9","28.0",,,,
"USW00014822","DETROIT CITY AIRPORT, MI US","2015-05-23","5.59"," 1446","0.00",,"73","39","  210","  210","15.0","21.9",,,,
